id,overall_status,study_type,start_date,enrollment,condition,location_countries,intervention,title,date_processed,sponsors
NCT04724707,Recruiting,Observational [Patient Registry],"September 11, 2020",900,COVID,RUSSIAN FEDERATION,,An Open Multicenter Observational Study (Registry) of Patients Recovered From Novel Coronavirus Infection (COVID-19) With Involvement of the Cardiovascular System or With Baseline Severe Cardiovascular Diseases,"February 08, 2021","Federal State Budgetary Institution, V. A. Almazov Federal North-West Medical Research Centre, of the Ministry of Health"
NCT04605588,Recruiting,Interventional,"December 2, 2020",70,SARS-COV INFECTION,UNITED STATES,NITAZOXANIDE,"A Triple Combination Antiviral Coronavirus Therapy (TriACT) RCT Comparing Nitazoxanide, Ribavirin and Hydroxychloroquine vs. Placebo","February 08, 2021","Rutgers, The State University of New Jersey"
NCT04568005,Completed,Observational [Patient Registry],"June 1, 2020",60,LYMPHEDEMA,TURKEY,,"Evaluation of Lymphedema Patients Treatment Processes, Health Status, Coronavirus Phobia, Quality of Life, Anxiety and Depression During Covid-19 Pandemic","February 08, 2021",Fatih Sultan Mehmet Training and Research Hospital
NCT04327401,Terminated,Interventional,"April 13, 2020",299,CORONAVIRUS INFECTION,BRAZIL,DEXAMETHASONE,"COVID-19-associated ARDS Treated With DEXamethasone: an Open-label, Randomized, Controlled Trial: CoDEX (Alliance Covid-19 Brasil III)","February 08, 2021",Hospital Sirio-Libanes
NCT04362137,Completed,Interventional,"May 2, 2020",432,CYTOKINE STORM (COVID),ARGENTINA,RUXOLITINIB,"Phase 3 Randomized, Double-blind, Placebo-controlled Multi-center Study to Assess the Efficacy and Safety of Ruxolitinib in Patients With COVID-19 Associated Cytokine Storm (RUXCOVID)","February 08, 2021",Novartis Pharmaceuticals
NCT04359654,Recruiting,Interventional,"June 16, 2020",50,COVID,UNITED KINGDOM,DORNASE ALFA INHALATION SOLUTION [PULMOZYME],"A Single-site, Randomised, Controlled, Parallel Design, Open-label Investigation of an Approved Nebulised Recombinant Human DNase Enzyme (Dornase Alfa) to Reduce Hyperinflammation in Hospitalised Participants With COVID-19","February 08, 2021","University College, London"
NCT04366271,Recruiting,Interventional,"May 7, 2020",106,COVID,SPAIN,MESENCHYMAL CELLS,Phase II Clinical Trial to Explore the Efficacy of Allogeneic Mesenchymal Cells From Umbilical Cord Tissue in Patients With Severe Pulmonary Involvement by COVID-19,"February 08, 2021","Hospital Infantil Universitario Niño Jesús, Madrid, Spain"
NCT04344938,Not yet recruiting,Observational,April 2020,874,COVID PANDEMIC FROM ETHICAL VIEW,,QUESTIONNAIR ABOUT EMERGING LEGAL AND EHICAL DISPUTES OVER PATIENT CONFIDENTIALITY,Covid 19 Pandemic. Emerging Legal and Ehical Disputes Over Patient Confidentiality,"February 08, 2021",Assiut University
NCT04482673,Recruiting,Interventional,"July 31, 2020",140,COVID,UNITED STATES,DAILY VITAMIN D3,The Role of Vitamin D in Mitigating COVID-19 Infection Severity: Focusing on Reducing Health Disparities in South Carolina,"February 08, 2021",Medical University of South Carolina
NCT04416438,Recruiting,Observational,"May 18, 2020",50,MYELOPROLIFERATIVE NEOPLASM,FRANCE,,Observational Study of the Impact of the COronaVirus Disease 2019 (COVID-19) Epidemic on Patients With Myeloproliferative Neoplasias,"February 08, 2021",French Innovative Leukemia Organisation
NCT04535167,Recruiting,Interventional,"September 9, 2020",72,VIRAL DISEASE,UNITED STATES,PF-07304814,"A PHASE 1B, 2-PART, DOUBLE-BLIND, PLACEBO-CONTROLLED, SPONSOR-OPEN STUDY, TO EVALUATE THE SAFETY, TOLERABILITY AND PHARMACOKINETICS OF SINGLE ASCENDING (24-HOUR, PART 1) AND EXTENDED (120-HOUR, PART 2) INTRAVENOUS INFUSIONS OF PF-07304814 IN HOSPITALIZED PARTICIPANTS WITH COVID-19","February 08, 2021",Pfizer
NCT04401046,Recruiting,Interventional,"May 20, 2020",4000,CANCER,FRANCE,SURVEY TO ASSESS POST TRAUMATIC STRESS AND ANXIETY AT INCLUSION AND 6 MONTHS LATER,COVID-19 EPIDEMIC Reorganisation of Cancer Patient Care: Self- Evaluation of Potential Post-traumatic Stress Disorder,"February 08, 2021",Institut Paoli-Calmettes
NCT04497818,Completed,Observational,"June 16, 2020",385,COVID,SAUDI ARABIA,CROSS SECTIONAL STUDY USING SCIENTIFICALLY VALIDATED PSYCHOMETRIC SCALES,Correlation of Fear of COVID-19 Infection and Dental Treatment Anxiety Among Netizens: A Cross-sectional Study.,"February 08, 2021",Qassim University
NCT03581123,Recruiting,Interventional,"October 25, 2018",1180,ACUTE PAIN,UNITED STATES,SUPPORTED-SELF MANAGEMENT (SSM),Spinal Manipulation and Patient Self-Management for Preventing Acute to Chronic Back,"February 08, 2021",University of Minnesota
NCT04574466,Recruiting,Interventional,"August 25, 2020",380,DISTRESS,SWITZERLAND,PROBLEM MANAGEMENT PLUS,Scaling-up Psychological Interventions With Syrian Refugees in Switzerland: RCT,"February 08, 2021",University of Zurich
NCT04614012,Recruiting,Interventional,"July 2, 2020",100,COVID,ITALY,TREATED WITH HYPERIMMUNE PLASMA,The Use of Hyperimmune Plasma for the Treatment of COVID-19 Infection,"February 08, 2021",ANNA FALANGA
NCT04405934,Not yet recruiting,Interventional,July 2020,2000,COVID,,USE OF VIRUS (COVID-19) GENOME SEQUENCE REPORT TO INFORM INFECTION PREVENTION CONTROL PROCEDURES,"A Phase III Prospective, Interventional, Cohort, Superiority Study to Evaluate the Benefit of Rapid COVID-19 Genomic Sequencing (the COVID-19 GENOMICS UK Project) on Infection Control in Preventing the Spread of the Virus in United Kingdom NHS Hospitals","February 08, 2021","University College, London"
NCT04364737,Recruiting,Interventional,"April 17, 2020",1000,COVID,UNITED STATES,CONVALESCENT PLASMA,CONTAIN COVID-19: Convalescent Plasma to Limit Coronavirus Associated Complications: a Randomized Blinded Phase 2 Study Comparing the Efficacy and Safety of Anti-SARS-CoV2 Plasma to Placebo in COVID-19 Hospitalized Patients,"February 08, 2021",NYU Langone Health
NCT04500600,Recruiting,Observational,"June 11, 2020",50000,COVID INFECTION,UNITED STATES,QUALITY-OF-LIFE ASSESSMENT,Well-Being and Quality of Life in Cancer Patients and Survivors During the COVID-19 Pandemic,"February 08, 2021",M.D. Anderson Cancer Center
NCT04311398,Not yet recruiting,Observational,"May 13, 2020",100,COVID,CHINA,NEW QIASTAT-DX FULLY AUTOMATIC MULTIPLE PCR DETECTION PLATFORM,Development and Verification of a New Coronavirus Multiplex Nucleic Acid Detection System,"February 08, 2021",Huashan Hospital
NCT04550338,Not yet recruiting,Interventional,"December 1, 2020",100,COVID,,TRANEXAMIC ACID,Antiviral Effects of Tranexamic Acid (TXA) as a Preventative Treatment Following COVID-19 Exposure,"February 08, 2021",University of Alabama at Birmingham
NCT04343183,Not yet recruiting,Interventional,April 2020,48,COVID,UNITED STATES,HYPERBARIC OXYGEN THERAPY,Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection,"February 08, 2021",Ochsner Health System
NCT04350281,Completed,Interventional,"April 9, 2020",60,COVID,HONG KONG,INTERFERON BETA-1B,"An Open-label Randomized Controlled Trial on Interferon β-1b and Hydroxychloroquine Combination Versus Hydroxychloroquine Alone, as Treatment for COVID-19 Infection","February 08, 2021",The University of Hong Kong
NCT04353674,Recruiting,Interventional,"April 28, 2020",40,COVID,CANADA,CONTROL GROUP,Novel Extracorporeal Treatment to Modulate Hyperinflammation in COVID-19 Patients,"February 08, 2021",Lawson Health Research Institute
NCT04438629,Recruiting,Observational,"March 26, 2020",80,ALLERGY AND IMMUNOLOGY,ITALY,COVID-19 TREATMENT,Evaluation of Immune Response in COVID-19 Patients,"February 08, 2021",Azienda Ospedaliera Universitaria Integrata Verona
NCT04366947,Completed,Interventional,"April 14, 2020",60,EMERGENCY MEDICINE,POLAND,NIO® (INTRAOSSEOUS ACCESS),Comparison of Intraosseous Versus Intravenous Access in Suspected/Confirmed COVID-19 Patient in Prehospital Setting,"February 08, 2021",Lazarski University
NCT03917290,Recruiting,Interventional,"April 2, 2019",40,BRAIN CONCUSSION,UNITED STATES,NEUROMUSCULAR TRAINING,A Sports Injury Prevention Program to Reduce Subsequent Injuries After Concussion,"February 08, 2021","University of Colorado, Denver"
NCT04699097,Completed,Observational,"July 1, 2020",105,AZITHROMYCIN ADVERSE REACTION,TURKEY,AZITHROMYCIN,Azitromycin Use in COVID-19 Positive Pediatric Patients; Effect on Ventricle Repolarization,"February 08, 2021",Kayseri City Hospital
NCT04672486,Not yet recruiting,Interventional,"December 18, 2020",120,MENTAL HEALTH ISSUE,,POD ADVENTURES,"PRIDE - Pilot Trial of an Online Digital Problem-solving Intervention for School-going Adolescents in Goa, India","February 08, 2021",Sangath
NCT04444609,Recruiting,Observational,"June 18, 2020",230,COVID,UNITED KINGDOM,"BLOOD TESTS SPUTUM, NASAL LAVAGE AND BRUSHING",PROSAIC-19 - Prospective Longitudinal Assessment in a COVID-19 Infected Cohort,"February 08, 2021",Imperial College London
NCT04659928,Not yet recruiting,Interventional,"December 1, 2020",50,COVID,UNITED STATES,HIGH VOLUME EVACUATION (HVE),Evaluation of Aerosol in a Dental Clinic,"February 08, 2021","The University of Texas Health Science Center, Houston"
NCT04431869,Recruiting,Observational [Patient Registry],"August 18, 2020",200,PREGNANCY RELATED,UNITED STATES,,In-Utero Vascular Accidents in Neonates From COVID-19 Infected Mothers,"February 08, 2021","University of Colorado, Denver"
NCT04678739,Recruiting,Interventional,"August 15, 2020",150,COVID,BANGLADESH,REMDESIVIR,Efficacy and Safety of Remdesivir and Tociluzumab for the Management of Severe COVID-19: A Randomized Controlled Trial,"February 08, 2021",M Abdur Rahim Medical College and Hospital
NCT04403685,Terminated,Interventional,"May 8, 2020",129,COVID,BRAZIL,TOCILIZUMAB,Safety and Efficacy of Tocilizumab in Moderate to Severe COVID-19 and Increased Inflammatory Markers: a Phase III Randomized Clinical Trial (COVID-19 Coalition Brazil VI) (TOCIBRAS),"February 08, 2021",Beneficência Portuguesa de São Paulo
NCT04558411,Recruiting,Interventional,"September 12, 2020",150,EMOTIONAL REGULATION,UNITED STATES,DIALECTICAL BEHAVIORAL THERAPY (DBT) SKILLS,"Pilot Study of a Brief, Scaleable Intervention for COVID-19 Mental Health Sequelae in College Students","February 08, 2021","Rutgers, The State University of New Jersey"
NCT04417153,Recruiting,Observational,"September 20, 2019",1000,"STRESS, PSYCHOLOGICAL",SINGAPORE,MINDFULNESS BASED INTERVENTION,Who Benefits More? Optimising Mindfulness Based Interventions for Improved Psychological Outcomes,"February 08, 2021","National University, Singapore"
NCT04354597,Not yet recruiting,Interventional,"May 1, 2020",200,COVID,JORDAN,HCQ & AZ,"A Multicenter, Open-label, Pilot Study on Using Hydroxychloroquine (HCQ) and Azithromycin (AZ) Prophylaxis for Healthcare Workers With a Potential Risk of Exposure to COVID-19 Patients","February 08, 2021",King Hussein Cancer Center
NCT04425005,Completed,Interventional,"May 10, 2020",55,BARIATRIC SURGERY,BRAZIL,HOME-BASED EXERCISE,Effect of Home-based Exercise Training Program During the Covid-19 Pandemic in Post-bariatric Patients: A Randomized Controlled Trial,"February 08, 2021",University of Sao Paulo
NCT04405466,Recruiting,Observational,"April 22, 2020",500,COVID,GERMANY,BLOOD SAMPLING,"A Prospective, Epidemiological, Cohort Study to Assess the Feasibility of Screening Healthy Asymptomatic Workers for the Presence of SARS-CoV-2 by Pharyngeal Swaps and Serology at Baseline, Day 21 and Day 40","February 08, 2021",Miltenyi Biomedicine GmbH
NCT04673292,Not yet recruiting,Interventional,February 2021,3000,CORONAVIRUS INFECTION,,FIXED SITE STANDARD OF CARE TESTING,Community Collaboration to Combat COVID-19,"February 08, 2021",Johns Hopkins University
NCT04331600,Recruiting,Interventional,"April 16, 2020",400,COVID,POLAND,CHLOROQUINE PHOSPHATE,"Multicenter, Randomized, Open-label, Non-commercial, Investigator-initiated Study to Evaluate the Efficacy and Safety of Chloroquine Phosphate in Combination With Telemedicine Care in the Risk Reduction of COVID-19 Related Hospitalization or Death, in Ambulatory Patients With COVID-19 Being at Risk of Serious Complications","February 08, 2021",Wroclaw Medical University
NCT04396210,Completed,Observational,"May 14, 2020",389,CORONAVIRUS,BELGIUM,QUESTIONNAIRE,Patients Perspectives on Discontinuation of Their Fertility Treatment Due to the COVID-19 Pandemic,"February 08, 2021","University Hospital, Ghent"
NCT04261426,Not yet recruiting,Interventional,"February 10, 2020",80,2019-NCOV,,INTRAVENOUS IMMUNOGLOBULIN,"A Randomized, Open-label, Controlled, Single-center Study to Evaluate the Efficacy of Intravenous Immunoglobulin Therapy in Patients With Severe 2019- nCoV Pneumonia","February 08, 2021",Peking Union Medical College Hospital
NCT04539275,Recruiting,Interventional,"November 16, 2020",702,COVID,UNITED STATES,CONVALESCENT PLASMA,VA CoronavirUs Research and Efficacy Studies-1 (VA CURES-1),"February 08, 2021",VA Office of Research and Development
NCT04409275,Recruiting,Observational,"May 21, 2020",500,PULMONARY FIBROSIS,SPAIN,,STUDY OF THE APPEARANCE OF LUNG FIBROTIC CHANGES ASSOCIATED WITH SARS-CoV-2 INFECTION,"February 08, 2021",Fundación para la Investigación del Hospital Clínico de Valencia
NCT04623346,"Active, not recruiting",Observational,"March 11, 2020",262,ANKLE FRACTURES,TURKEY,OBSERVATION FOR STUDY GROUP,Orthopaedic Conservative Treatment in the Time of Covid-19 Pandemic,"February 08, 2021",Prof. Dr. Cemil Tascıoglu Education and Research Hospital Organization
NCT04424212,Recruiting,Interventional,"June 10, 2020",120,DEPRESSION AND QUALITY OF LIFE RELATED TO THE CORONAVIRUS PANDEMIC,SWEDEN,INTERVENTION GROUP CORONACOPE,CoronaCope - Internet-based Cognitive Behavioural Therapy for Adults Suffering From Mental Health Problems Related to the Coronavirus Pandemic,"February 08, 2021",Linkoeping University
NCT04383574,"Active, not recruiting",Interventional,"May 22, 2020",422,COVID,CHINA,"TWO DOSES OF LOW DOSAGE INACTIVATED SARS-COV-2 VACCINE AT THE SCHEDULE OF DAY 0,28","A Randomized, Double-Blinded, Placebo-Controlled, Phase Ⅰ/Ⅱ Clinical Trial, to Evaluate the Safety and Immunogenicity of the SARS-CoV-2 Inactivated Vaccine (Vero Cell) in Healthy Population Aged ≥60 Years","February 08, 2021","Sinovac Research and Development Co., Ltd."
NCT04474444,Recruiting,Observational,"March 23, 2019",55000,"ALCOHOL USE, UNSPECIFIED",UNITED KINGDOM,ATTENDANCE BY AMBULANCE CREW,Ambulance Calls for Substance Use and Alcohol in a Pandemic (ASAP): Exploring Attendance at Incidents Involving Substance and/or Alcohol Use During COVID-19 Pandemic,"February 08, 2021",University of Lincoln
NCT04714138,Recruiting,Observational,"January 5, 2021",190,COVID,FRANCE,,Remote Evaluation of Quality of Life and Functional Capacities in Patients Hospitalised for COVID-19: a Prospective Observational Study,"February 08, 2021",Groupe Hospitalier du Havre
NCT04322565,Recruiting,Interventional,"April 20, 2020",310,CORONAVIRUS INFECTION,ITALY,COLCHICINE,Colchicine to Counteract Inflammatory Response in COVID-19 Pneumonia,"February 08, 2021",Azienda Ospedaliero-Universitaria di Parma
NCT04466644,Completed,Observational,"June 8, 2020",340,COVID,UNITED STATES,ELISA,"A Multicenter, Prevalence Study to Evaluate the Infectious and Immunological Status of COVID-19 in Asymptomatic Subjects Attending ART Centres After the Pandemic Lockdown in the USA","February 08, 2021",Igenomix
NCT04475107,Recruiting,Interventional,"July 9, 2020",76,COVID,"KOREA, REPUBLIC OF",PYRONARIDINE-ARTESUNATE,"A Multi-center, Randomized, Double-blind, Parallel, Placebo-Controlled, Phase Ⅱ Clinical Trial to Evaluate Efficacy and Safety of Pyramax in Mild to Moderate COVID-19 Patients","February 08, 2021",Shin Poong Pharmaceutical Co. Ltd.
NCT04382651,"Active, not recruiting",Interventional,"June 7, 2020",140,"COVID PNEUMONIA, IMPAIRED RESPIRATORY FUNCTION",UNITED STATES,MAS825,"A Phase 2, Randomized, Placebo-controlled, Participant and Investigator Blinded, Multi-center Study to Assess Efficacy and Safety of MAS825 for the Treatment of SARS-CoV-2 Infected Patients With COVID-19 Pneumonia and Impaired Respiratory Function","February 08, 2021",Novartis Pharmaceuticals
NCT04355026,Recruiting,Interventional,"April 10, 2020",90,COVID,SLOVENIA,BROMHEXINE ORAL TABLET AND/OR HYDROXYCHLOROQUINE TABLET,Use of Bromhexine and Hydroxychloroquine for Treatment of COVID-19 Pneumonia,"February 08, 2021",General and Teaching Hospital Celje
NCT04602286,Recruiting,Interventional,"October 28, 2020",292,"PAIN, INTRACTABLE",AUSTRALIA,MEDITATION (1 X 20-MINUTE GUIDED AUDIO TRAINING),"An Online Randomized Controlled Trial Comparing the Effects of Mindfulness, Sham Mindfulness and Book Listening Control on Pain Experience in Adults With Recurrent and Chronic Pain","February 08, 2021",The University of Queensland
NCT04742569,Recruiting,Observational,"December 21, 2020",2352,COVID,UNITED STATES,,Wearable Diagnostic for Detection of COVID-19 Infection,"February 08, 2021","ClinOne, Inc."
NCT04449042,Recruiting,Observational [Patient Registry],"April 1, 2020",15000,AIRWAY MANAGEMENT,UNITED STATES,AIRWAY MANAGEMENT DURING SEDATION OR GENERAL ANESTHESIA,"Pediatric Airway Management Complications During the COVID-19 Pandemic. An International, Multicenter, Observational Registry: The PAWS-COVID-19 (Pediatric AirWay complicationS COVID-19) Registry","February 08, 2021",Boston Children's Hospital
NCT04496128,Enrolling by invitation,Observational,"April 13, 2020",300,SARS-COV2,UNITED STATES,,Neurological Complications of COVID-19,"February 08, 2021",University of Pittsburgh
NCT04453371,Not yet recruiting,Interventional,"October 15, 2020",50,ACUTE RESPIRATORY DISTRESS SYNDROME,,TISSUE PLASMINOGEN ACTIVATOR,Tissue Plasminogen Activator (tPA) Treatment for an Atypical Acute Respiratory Distress Syndrome (Microvascular COVID-19 Lung Vessels Obstructive Thromboinflammatory Syndrome (MicroCLOTS): A Multicentral Randomized Trial (AtTAC-trial),"February 08, 2021",Negovsky Reanimatology Research Institute
NCT04453475,Recruiting,Interventional,"July 1, 2020",1230,PSYCHOSOMATIC DISORDER,GERMANY,TRAINING SESSION ADRESSING INFORMATION AND HEALTH LITERACY,Therapies to Achieve Treatment Goals While Being Exposed to Hygiene and Distance Rules: Feasibility and Benefits of Digital Services During the COVID19 Pandemic (Anhand-COVID19),"February 08, 2021",Jacobs University Bremen gGmbH
NCT04398290,Withdrawn,Interventional,"December 1, 2020",0,COVID,UNITED STATES,INHALED NITRIC OXIDE (INO),Randomized Controlled Trial Of A Delivered Continuously By Nasal Cannula For The Treatment Of Patients With COVID-19 And Mild To Moderate Hypoxemia Requiring Supplemental Oxygen,"February 08, 2021",Roger Alvarez
NCT04432350,Not yet recruiting,Observational,"June 15, 2020",50000,COVID,,,Assessment of Mortality Rates in SARS-CoV-2 Infected Populations Treated With Repurposed Medications,"February 08, 2021",Tabula Rasa HealthCare
NCT04613986,Not yet recruiting,Interventional,December 2020,20,SEVERE COVID,,THERAPEUTIC PLASMAEXCHNAGE,"Randomized, Prospective, Open-label, Controlled Parallel-group Trial Investigating the Efficacy of Therapeutic Plasma Exchange as an Adjunctive Strategy to Treat the Systemic Inflammatory Response Against SARS-CoV2 and the Associated Coagulopathy","February 08, 2021",University of Zurich
NCT04349618,Recruiting,Interventional,"April 15, 2020",200,ACUTE RESPIRATORY DISTRESS SYNDROME,FRANCE,PROTECTIVE VENTILATION,Open Label Randomized Controlled Trial of Ultraprotective Ventilation Without Extracorporeal Circulation in Patients With COVID 19 Pneumonia and Moderate to Severe ARDS,"February 08, 2021",Hospices Civils de Lyon
NCT04346693,Completed,Interventional,"April 8, 2020",320,ACUTE RESPIRATORY TRACT INFECTION,RUSSIAN FEDERATION,STANDARD THERAPY RECOMMENDED BY THE MINISTRY OF HEALTH OF THE RUSSIAN FEDERATION.,An Open Randomized Study of the Effectiveness of the Drug Dalargin for the Prevention and Treatment of Symptoms of Pulmonary Complications in Patients With Coronavirus Infection (SARS-COVID-19),"February 08, 2021",Burnasyan Federal Medical Biophysical Center
NCT04278404,Recruiting,Observational,"March 5, 2020",5000,CORONAVIRUS INFECTION (COVID),CANADA,"THE POP02 STUDY IS COLLECTING BODILY FLUID SAMPLES (I.E., WHOLE BLOOD, EFFLUENT SAMPLES) OF CHILDREN PRESCRIBED THE FOLLOWING DRUGS OF INTEREST PER STANDARD OF CARE:","Pharmacokinetics, Pharmacodynamics, and Safety Profile of Understudied Drugs","February 08, 2021",Duke University
NCT04531202,Recruiting,Observational [Patient Registry],"March 2, 2020",2000,CORONAVIRUS INFECTION (COVID),BRAZIL,,Clinical Characterization Protocol for Severe Emerging Infections: Coronavirus,"February 08, 2021",D'Or Institute for Research and Education
NCT04508985,Not yet recruiting,Interventional,"September 1, 2020",40,COVID,,TEMPORARILY HOLDING THE RAAS INHIBITOR [INTERVENTION],Management of Renin-Angiotensin-Aldosterone System Blockade in Patients Admitted in Hospital With Confirmed Coronavirus Disease (COVID-19) Infection: The McGill RAAS-COVID-19 Randomized Controlled Trial,"February 08, 2021",McGill University Health Centre/Research Institute of the McGill University Health Centre
NCT04426266,Completed,Observational,"May 1, 2020",441,QUESTIONNAIRE DESIGNS,HUNGARY,,Psychological Effects of the COVID-19 Pandemic on the Hungarian Adult Population,"February 08, 2021",Szeged University
NCT04373161,Completed,Interventional,"March 20, 2020",209,SARS-COV2,UNITED STATES,HOME PULSE OXIMETRY MONITORING,Utilizing Home Pulse Oximetry for Patients With COVID-19 To Monitor Disease Progression,"February 08, 2021",Swedish Hospital
NCT03540706,Recruiting,Interventional,"May 1, 2018",406,RESPIRATORY INFECTION,FRANCE,CARE WITH C-REACTIVE PROTEIN ASSAY IN MICRO METHOD,Impact of the Use of C-reactive Protein in a Micro-method on the Prescription of Antibiotics in General Practitioners Consulting in the Office,"February 08, 2021",Centre Hospitalier Intercommunal Creteil
NCT04486521,Recruiting,Observational,"July 22, 2020",11000,CRITICAL ILLNESS,SAUDI ARABIA,INTERLEUKIN 6 (IL6) ANTAGONIST,Clinical Outcome of Anti-IL6 vs Anti-IL6 Corticosteroid Combination in Patients With SARS-CoV-2 Cytokine Release Syndrome,"February 08, 2021",King Faisal Specialist Hospital & Research Center
NCT04743388,Recruiting,Observational [Patient Registry],"January 4, 2021",600,COVID,GREECE,BNT162B2,Study of the Kinetics of Antibodies Against SARS-CoV-2 and of Cellular Subpopulations of the Immune System in Volunteers Receiving the BNT162b2 Vaccine or Other Approved Vaccine Against SARS-CoV-2,"February 08, 2021",National and Kapodistrian University of Athens
NCT04461769,Completed,Interventional,"September 1, 2019",13,SLEEP,UNITED STATES,TRANSCRANIAL ELECTRICAL STIMULATION,Electrical Synchronization of Slow Oscillations to Enhance Deep Sleep,"February 08, 2021",Brain Electrophysiology Laboratory Company
NCT04594668,Recruiting,Interventional,"April 24, 2020",46,"ARDS, HUMAN",DENMARK,SENICAPOC,"Senicapoc in COVID-19 Patients With Severe Respiratory Insufficiency - A Randomized, Open-Label, Phase II Trial","February 08, 2021",University of Aarhus
NCT04647760,Recruiting,Interventional,January 2021,128,PEDIATRIC OBESITY,UNITED STATES,JOIN FOR ME,Packaging and Disseminating the JOIN for ME Program in Low-Income Settings,"February 08, 2021",The Miriam Hospital
NCT04499313,Recruiting,Interventional,"August 2, 2020",60,COVID,BANGLADESH,DEXAMETHASONE,The Outcome of Dexamethasone and Methylprednisolone Treatment for Patients With ARDS Caused by COVID-19,"February 08, 2021",Chattogram General Hospital
NCT04354155,Recruiting,Interventional,"June 2, 2020",38,INFECTION VIRAL,UNITED STATES,ENOXAPARIN PREFILLED SYRINGE [LOVENOX],COVID-19 Anticoagulation in Children - Thromboprophlaxis (COVAC-TP) Trial,"February 08, 2021",Johns Hopkins All Children's Hospital
NCT04647994,Recruiting,Observational,"September 21, 2020",500,PREGNANT WOMEN,BRAZIL,SARS-COV-2 SEROLOGY,Exploratory Study in COVID-19 During Pregnancy,"February 08, 2021",University of Sao Paulo General Hospital
NCT04420182,Recruiting,Interventional,"August 17, 2020",2000,COVID,CANADA,VIRTUAL CARE AT HOME,COVID-19 Virtual Care at Home,"February 08, 2021",Lawson Health Research Institute
NCT04314817,Recruiting,Observational,"March 17, 2020",1000,CORONAVIRUS,FRANCE,ANY DRUG USED TO TREAT COVID-19,Adverse Events Related to Treatments Used Against Coronavirus Disease 2019,"February 08, 2021",Groupe Hospitalier Pitie-Salpetriere
NCT04369300,Recruiting,Observational [Patient Registry],"April 24, 2020",1000,COVID,INDIA,REGISTERY DATA COLLECTION,Prevalence Of Anxiety And Depression During COVID-19,"February 08, 2021",Max Healthcare Insititute Limited
NCT04310228,Recruiting,Interventional,"March 8, 2020",150,COVID,CHINA,FAVIPIRAVIR COMBINED WITH TOCILIZUMAB,"Favipiravir Combined With Tocilizumab in the Treatment of Corona Virus Disease 2019-A Multicenter, Randomized and Controlled Clinical Trial Study","February 08, 2021",Peking University First Hospital
NCT04549922,"Active, not recruiting",Interventional,"October 22, 2020",111,COVID,BRAZIL,ISIS 721744,Antisense Therapy to Block the Kallikrein-kinin Pathway in COVID-19: A Phase II Randomized Controlled Trial,"February 08, 2021",Hospital do Coracao
NCT04330261,Recruiting,Observational,"March 18, 2020",12500,COVID,CANADA,EXPOSURE (NOT INTERVENTION) - SARS-COV-2 INFECTION,Clinical Characteristics and Outcomes of Children Potentially Infected by Severe Acute Respiratory Distress Syndrome (SARS)-CoV-2 Presenting to Pediatric Emergency Departments,"February 08, 2021",University of Calgary
NCT04655638,Not yet recruiting,Interventional,"January 10, 2021",364,COVID,ITALY,HIGH FLOW NASAL THERAPY,High-Flow Nasal Therapy Versus Conventional Oxygen Therapy in Patients With COVID-19: A Randomized Controlled Trial (The COVID-HIGH Trial),"February 08, 2021",Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone Palermo
NCT04255940,Recruiting,Observational,"January 20, 2020",12000,CARDIOVASCULAR DEATH; MAJOR ADVERSE CARDIOVASCULAR EVENTS,CHINA,,Impact of a Novel Coronavirus (2019-nCoV) Outbreak on Public Anxiety and Cardiovascular Disease Risk in China,"February 08, 2021",Qilu Hospital of Shandong University
NCT04358536,Completed,Observational,"April 1, 2020",230,COVID,UNITED STATES,COVX,Classification of COVID-19 Infection in Posteroanterior Chest X-rays With Common Deep Learning Architectures,"February 08, 2021",Dascena
NCT04343690,Withdrawn,Interventional,"March 27, 2020",0,COVID,UNITED STATES,CRISIS MANAGEMENT COACHING,Effectiveness of Crisis Management Coaching on Faculty and Trainee Wellness During COVID-19 Crisis,"February 08, 2021",Duke University
NCT04565665,Recruiting,Interventional,"July 29, 2020",70,COVID INFECTION,UNITED STATES,BEST PRACTICE,Emergency Use Pilot Study of Cord Blood Derived Mesenchymal Stem Cells for Treatment of COVID-19 Related Acute Respiratory Distress Syndrome,"February 08, 2021",M.D. Anderson Cancer Center
NCT04390412,"Active, not recruiting",Interventional,"May 4, 2020",5,COVID,"IRAN, ISLAMIC REPUBLIC OF",LOW DOSE RADIOTHERAPY,Assessment of Adding Low Dose Pulmonary Radiotherapy to the National Protocol of COVID-19 Management: A Pilot Trial,"February 08, 2021",Shahid Beheshti University of Medical Sciences
NCT04496076,Enrolling by invitation,Observational,"April 2, 2020",300,SARS-COV2,UNITED STATES,,Severe Neurologic Injury Outcomes During COVID-19 Crisis,"February 08, 2021",University of Pittsburgh
NCT04477902,Recruiting,Observational,"July 1, 2020",50000,COVID,UNITED STATES,NONE - OBSERVATIONAL,"A Longitudinal, Long-Term, Observational Study of COVID-19 Experience and Health Effects","February 08, 2021",Altura
NCT04728594,Completed,Interventional,"January 15, 2021",9656,VACCINATION REFUSAL,UNITED STATES,SOCIAL PROOF,Evaluation of an Email Intervention Promoting COVID-19 Vaccination Among Healthcare Workers,"February 08, 2021",Geisinger Clinic
